school_id,lat,lon,county_fips,match
00942879,40.633201697996,-74.022886490058,36047,Match
A1171169,40.408228966692,-74.69935217595,34035,Match
A0502581,41.108169986197,-74.044808020036,36087,Match
A2190571,40.942265911101,-73.820734298181,36119,Match
00939243,43.172551550334,-77.504078631177,36055,Match
A1702405,39.739760447639,-75.113436527906,34015,Match
00865767,40.904999737198,-74.211714650355,34031,Match
A1702406,39.484789288767,-74.997729649371,34011,Match
A2190577,40.794015771148,-73.96659086202,36061,Match
A2190575,40.71517361583,-74.010030735613,36061,Match
01904708,42.689998938378,-73.616121834346,36083,Match
A2102875,35.361608394737,-81.095190841391,37071,Match
A1302262,,,,No_Match
A9502720,42.761990905908,-71.253423164982,33015,Match
A2102878,,,,No_Match
A1302263,40.488776381955,-81.72995776379,39075,Match
A9502721,42.938707456733,-72.322371063635,33005,Match
00925081,40.713937751349,-73.850694305688,36081,Match
A2102872,34.13368341132,-77.89531936983,37129,Match
A1302265,40.66966750569,-81.755313881221,39169,Match
A2102873,35.986988505751,-78.926949259959,37063,Match
A1902953,42.646173838612,-73.785607254341,36001,Match
A1902950,40.647559158319,-73.894513298463,36047,Match
A1902952,41.796028306326,-74.207313819286,36111,Match
A1902951,40.745024192924,-73.984435671777,36061,Match
00943737,40.631442603834,-73.957553950531,36047,Match
A9707240,42.979691606596,-71.425617712938,33011,Match
00939651,40.765174451598,-73.969503532618,36061,Match
00863599,40.989880176476,-74.078651745556,34003,Match
01914567,35.569383982157,-82.669909119581,37021,Match
00864446,39.957166601574,-75.065098157718,34007,Match
A2190564,42.825801227872,-78.823164004787,36029,Match
A9303537,42.708203082172,-71.462332275141,33011,Match
A0507889,43.162742375925,-71.537210920081,33013,Match
01061211,41.595587353339,-83.567569608266,39173,Match
A1371292,42.779063468672,-71.517496985223,33011,Match
A1101727,40.706195569829,-74.012891327504,36061,Match
A9303539,40.381292165217,-74.695143859794,34035,Match
A0307746,41.004698346245,-74.242134120323,34003,Match
01904763,41.111036657054,-74.052252095379,36087,Match
01012718,35.97224344241,-78.976512435858,37063,Match
A0302059,39.821795939782,-75.285663903476,34015,Match
A1902983,40.68401555545,-73.874256241344,36047,Match
A1902982,41.529120281888,-73.790209757376,36027,Match
01010539,36.093953786105,-79.445927481307,37001,Match
00926347,40.777475068045,-73.910802369767,36081,Match
00908918,35.061972650357,-106.577532997499,35001,Match
00925015,40.764594031532,-73.807258819773,36081,Match
A2170949,40.662678089486,-73.648552966415,36059,Match
A0902537,35.637786099706,-78.495003609738,37101,Match
A2170945,41.601759780602,-74.299217387979,36071,Match
A1980004,34.991499684182,-80.763210437003,37179,Match
A0302050,40.936214514587,-74.34279893364,34027,Match
A1980003,35.66099641934,-78.855697923146,37183,Match
A0507894,42.732812370339,-71.314214858006,33011,Match
A2190552,40.770213471834,-74.987365871437,34041,Match
