Title,Page ID,URL,State,City,County,Extracted State,School Type,Direct Parent Category
"Dulles High School (Sugar Land, Texas)",2665919,"https://en.wikipedia.org/wiki/Dulles_High_School_(Sugar_Land,_Texas)","Texas","Sugar Land, Texas","","Texas","unknown","Schools in Sugar Land, Texas"
"Dumas High School (Texas)",48065168,"https://en.wikipedia.org/wiki/Dumas_High_School_(Texas)","Texas","Dumas, Texas","","Texas","public","Public high schools in Texas"
"Duncanville High School",3877410,"https://en.wikipedia.org/wiki/Duncanville_High_School","Texas","Duncanville, Texas","Dallas County","Texas","public","Public high schools in Dallas County, Texas"
"Eagle Mountain High School",81830917,"https://en.wikipedia.org/wiki/Eagle_Mountain_High_School","Texas","Fort Worth","","Texas","public","Public high schools in Texas"
"Earl Warren High School",3981201,"https://en.wikipedia.org/wiki/Earl_Warren_High_School","Texas","San Antonio, Texas","Bexar County, Texas","Texas","unknown","High schools in San Antonio"
"Early College High School (Farmers Branch, Texas)",60535083,"https://en.wikipedia.org/wiki/Early_College_High_School_(Farmers_Branch,_Texas)","Texas","Farmers Branch, Texas","","Texas","unknown","Texas school stubs"
"Early College High School (Laredo, Texas)",39535514,"https://en.wikipedia.org/wiki/Early_College_High_School_(Laredo,_Texas)","Texas","Laredo, Texas","","Texas","public","Public high schools in Texas"
"Early High School",33799507,"https://en.wikipedia.org/wiki/Early_High_School","Texas","Early, Texas","","Texas","public","Public high schools in Texas"
"East Bernard High School",34715617,"https://en.wikipedia.org/wiki/East_Bernard_High_School","Texas","East Bernard, Texas","","Texas","public","Public high schools in Texas"
"East Central High School (Texas)",34430582,"https://en.wikipedia.org/wiki/East_Central_High_School_(Texas)","Texas","San Antonio, Texas","Bexar County, Texas","Texas","public","Public high schools in Bexar County, Texas"
"East Chambers High School",38981854,"https://en.wikipedia.org/wiki/East_Chambers_High_School","Texas","Winnie, Texas","","Texas","public","Public high schools in Texas"
"East Early College High School",14269102,"https://en.wikipedia.org/wiki/East_Early_College_High_School","Texas","Houston, Texas","","Texas","charter","Charter high schools in Houston"
"East View High School (Georgetown, Texas)",45447397,"https://en.wikipedia.org/wiki/East_View_High_School_(Georgetown,_Texas)","Texas","Georgetown, Texas","Williamson County","Texas","public","Public high schools in Texas"
"Eastern Hills High School",9568055,"https://en.wikipedia.org/wiki/Eastern_Hills_High_School","Texas","5701 SheltonFort Worth","","Texas 76112","public","Public high schools in Fort Worth, Texas"
"Eastlake High School (Texas)",51942074,"https://en.wikipedia.org/wiki/Eastlake_High_School_(Texas)","Texas","","El Paso County, Texas","","unknown","Texas high school stubs"
"Eastland High School (Texas)",41237888,"https://en.wikipedia.org/wiki/Eastland_High_School_(Texas)","Texas","Eastland, Texas","","Texas","public","Public high schools in Texas"
"Eastside High School (Austin, Texas)",30932268,"https://en.wikipedia.org/wiki/Eastside_High_School_(Austin,_Texas)","Texas","Austin, TX","","Texas","unknown","High schools in Austin, Texas"
"Eastwood Academy",13168405,"https://en.wikipedia.org/wiki/Eastwood_Academy","Texas","Houston, TX","","Texas","charter","Charter high schools in Houston"
"Eastwood High School (Texas)",9369040,"https://en.wikipedia.org/wiki/Eastwood_High_School_(Texas)","Texas","2430 McRae Blvd.El Paso","","expanded","unknown","High schools in El Paso, Texas"
"Edcouch-Elsa High School",14478003,"https://en.wikipedia.org/wiki/Edcouch-Elsa_High_School","Texas","Elsa, Texas","","Texas","public","Public high schools in Texas"
"Eden High School (Texas)",34414573,"https://en.wikipedia.org/wiki/Eden_High_School_(Texas)","Texas","Eden, Texas","","Texas","public","Public high schools in Texas"
"Edison High School (San Antonio)",9957184,"https://en.wikipedia.org/wiki/Edison_High_School_(San_Antonio)","Texas","San Antonio, Texas","Bexar County, Texas","Texas","unknown","High schools in San Antonio"
"Edna High School",13590646,"https://en.wikipedia.org/wiki/Edna_High_School","Texas","Edna, Texas","","Texas","public","Public high schools in Texas"
"Eisenhower High School (Houston)",8315045,"https://en.wikipedia.org/wiki/Eisenhower_High_School_(Houston)","Texas","Houston, Texas","","","public","Public high schools in Houston"
"El Campo High School",62263237,"https://en.wikipedia.org/wiki/El_Campo_High_School","Texas","El Campo, Texas","","Texas","public","Public high schools in Texas"
"El Dorado High School (El Paso, Texas)",16458643,"https://en.wikipedia.org/wiki/El_Dorado_High_School_(El_Paso,_Texas)","Texas","12401 Edgemere BlvdEl Paso","","expanded","unknown","High schools in El Paso, Texas"
"El Paso High School",7895491,"https://en.wikipedia.org/wiki/El_Paso_High_School","Texas","800 East Schuster AvenueEl Paso","","expanded","unknown","High schools in El Paso, Texas"
